Company,Job_Count,Top_Skills
Bosch Global Software Technologies Company Limited,46,"English (12), Embedded (9), Python (7), C++ (6), C/C++ Programming (3)"
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,46,"Oracle (12), PostgreSQL (9), MongoDB (8), SQL (7), Spring Core (6)"
Navigos Search's Client,40,"C# (5), Project Management (4), Technical Lead (3), Communication (3), Data Analysis (3)"
Navigos Search,38,"Data Analysis (10), Communication (6), Digital Marketing (4), Market Analysis (4), Project Management (3)"
Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT),24,"An Toàn Thông Tin (4), Linux (4), Công Nghệ Thông Tin (3), Bảo Mật Web (2), Quản Trị Hệ Thống (2)"
Vietnamworks' Client,22,"Data Analysis (4), Figma (2), Interaction Design (2), Graphic Design (2), Communication (2)"
ITECHWX COMPANY LIMITED,22,"Customer Service (7), Communication Skills (5), Problem-solving (5), Analytical Skills (5), Technical Support (4)"
Ngân Hàng TMCP Đại Chúng Việt Nam,19,"DevSecOps (3), Core Banking (3), Microservice (3), English (3), Công Nghệ Thông Tin (2)"
MISA Jointstock Company,18,"Market Research (3), Business Development (3), Tài Chính (2), Quản Trị Nhân Lực (2), Quản Trị Kinh Doanh (2)"
One Mount,15,"Data Structure (2), Supply Chain (2), Bất Động Sản (2), Agile (1), Jira (1)"
